id;code_competence;intitule_competence;description_competence
1;Designer Borders content-based;Tasty Customer Human;pink even-keeled
2;bus Internal AI;THX bypassing Marketing;Dynamic Home Loan Account Tools
3;Branding;Home Gloves Latvia;Ports Manager Fish
4;Networked;Fish;payment calculating
5;local area network Benin;turn-key dedicated;Wisconsin
6;target Human withdrawal;dot-com payment Libyan Dinar;white sensor local
7;calculate;Chips;Villages uniform PCI
8;Automotive Tactics architectures;Wisconsin Facilitator Incredible;reinvent
9;eco-centric Bedfordshire mesh;Configuration UIC-Franc;Ergonomic Concrete Soap Zambian Kwacha
10;Concrete Bedfordshire;portal calculating Metal;real-time discrete redundant
