id;titre_cours;contenu_cours
1;multi-byte Jamaican Dollar North Carolina;Station
2;parsing Investment Account;Branding Dynamic black
3;yellow;Books Generic
4;robust withdrawal generate;Garden open-source hybrid
5;Solomon Islands Dollar;Personal Loan Account HTTP
6;schemas Specialist China;quantify multi-byte
7;interface Cotton Robust;user-centric Infrastructure
8;Managed Dobra application;Fantastic
9;Liechtenstein Buckinghamshire monetize;Direct
10;Small Frozen Salad bypassing;time-frame Quality
